batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
159,8,63,33,3,3,43721.130000000005,1358.3204799999999,118202.86000000002,3392.1135200000003
1301,4,46,25,5,2,291349.36,7489.136540000001,975012.1799999999,24822.788500000002
1047,11,49,38,6,1,6640120.350000001,146792.87744,10018968.52,217585.28896000003
147,11,45,28,8,1,584879.4600000001,12735.30468,703643.79,16029.382999999998
654,4,44,59,4,2,902828.5199999999,19931.0121,2945113.9200000004,64510.115040000004
1611,7,38,39,4,3,527999.0800000001,13816.79006,1425935.0599999998,37496.34818000001
1770,3,55,20,3,1,840655.21,20115.112199999996,2506104.39,58940.05882
874,2,13,60,3,2,407926.85000000003,9910.09664,1646145.06,38619.21888
95,2,61,24,7,3,26258.46,562.14836,61955.48999999999,1486.2327799999998
1114,5,16,23,6,2,82232.41,2761.2958999999996,229618.52000000002,7058.5905
1313,2,51,11,5,3,21569.260000000002,782.53336,78927.39,2674.18034
680,8,20,46,7,1,2388985.51,59166.24173999999,3774129.7600000002,93216.65608000002
893,11,36,25,6,2,683134.8300000001,17572.020979999998,708209.9000000001,17361.006199999996
1956,4,54,33,6,2,947614.1900000001,22346.04164,2930248.13,70791.2725
969,9,60,55,8,1,24119517.7,455890.93314000004,32672384.01,695695.9157399999
820,14,20,31,3,3,337070.13999999996,10119.31572,467745.41000000003,13157.417119999998
1247,11,1,43,5,2,1298474.45,38027.91136,986915.21,27287.609520000005
711,13,50,21,8,2,492769.16000000003,12446.05004,563401.1900000001,14753.17774
1385,14,52,52,8,3,4343430.050000001,102390.65320000002,5428297.85,124773.51452
666,6,56,48,4,3,434306.1,10514.960340000001,1301249.69,30912.77522
828,6,38,33,7,2,492109.93000000005,10770.998620000002,1146809.77,26942.601259999996
160,10,12,12,8,3,22145.34,523.8581800000001,34713.630000000005,818.10934
1487,7,43,30,4,3,230836.82,6354.87114,768972.14,20666.92646
